radius_nm,temperature_c,static_pressure_atm,surface_tension_mn_m,threshold_pa,threshold_mpa,vapor_pressure_atm,laplace_pressure_kpa
250,20,0.5,23.0,0.0,0.0,3.0375167516032686,183.99999999999997
250,20,0.5,27.0,0.0,0.0,3.0375167516032686,215.99999999999997
250,20,1.0,23.0,0.0,0.0,3.0375167516032686,183.99999999999997
250,20,1.0,27.0,9548.615143798816,0.009548615143798815,3.0375167516032686,215.99999999999997
250,20,2.0,23.0,78873.61514379882,0.07887361514379881,3.0375167516032686,183.99999999999997
250,20,2.0,27.0,110873.61514379882,0.11087361514379881,3.0375167516032686,215.99999999999997
250,25,0.5,23.0,0.0,0.0,3.532885330414182,183.99999999999997
250,25,0.5,27.0,0.0,0.0,3.532885330414182,215.99999999999997
250,25,1.0,23.0,0.0,0.0,3.532885330414182,183.99999999999997
250,25,1.0,27.0,0.0,0.0,3.532885330414182,215.99999999999997
250,25,2.0,23.0,28680.393895782996,0.028680393895782995,3.532885330414182,183.99999999999997
250,25,2.0,27.0,60680.393895782996,0.060680393895782996,3.532885330414182,215.99999999999997
250,37,0.5,23.0,0.0,0.0,4.9631108573509435,183.99999999999997
250,37,0.5,27.0,0.0,0.0,4.9631108573509435,215.99999999999997
250,37,1.0,23.0,0.0,0.0,4.9631108573509435,183.99999999999997
250,37,1.0,27.0,0.0,0.0,4.9631108573509435,215.99999999999997
250,37,2.0,23.0,0.0,0.0,4.9631108573509435,183.99999999999997
250,37,2.0,27.0,0.0,0.0,4.9631108573509435,215.99999999999997
500,20,0.5,23.0,0.0,0.0,3.0375167516032686,91.99999999999999
500,20,0.5,27.0,0.0,0.0,3.0375167516032686,107.99999999999999
500,20,1.0,23.0,0.0,0.0,3.0375167516032686,91.99999999999999
500,20,1.0,27.0,0.0,0.0,3.0375167516032686,107.99999999999999
500,20,2.0,23.0,0.0,0.0,3.0375167516032686,91.99999999999999
500,20,2.0,27.0,2873.6151437988156,0.0028736151437988157,3.0375167516032686,107.99999999999999
500,25,0.5,23.0,0.0,0.0,3.532885330414182,91.99999999999999
500,25,0.5,27.0,0.0,0.0,3.532885330414182,107.99999999999999
500,25,1.0,23.0,0.0,0.0,3.532885330414182,91.99999999999999
500,25,1.0,27.0,0.0,0.0,3.532885330414182,107.99999999999999
500,25,2.0,23.0,0.0,0.0,3.532885330414182,91.99999999999999
500,25,2.0,27.0,0.0,0.0,3.532885330414182,107.99999999999999
500,37,0.5,23.0,0.0,0.0,4.9631108573509435,91.99999999999999
500,37,0.5,27.0,0.0,0.0,4.9631108573509435,107.99999999999999
500,37,1.0,23.0,0.0,0.0,4.9631108573509435,91.99999999999999
500,37,1.0,27.0,0.0,0.0,4.9631108573509435,107.99999999999999
500,37,2.0,23.0,0.0,0.0,4.9631108573509435,91.99999999999999
500,37,2.0,27.0,0.0,0.0,4.9631108573509435,107.99999999999999
1000,20,0.5,23.0,0.0,0.0,3.0375167516032686,45.99999999999999
1000,20,0.5,27.0,0.0,0.0,3.0375167516032686,53.99999999999999
1000,20,1.0,23.0,0.0,0.0,3.0375167516032686,45.99999999999999
1000,20,1.0,27.0,0.0,0.0,3.0375167516032686,53.99999999999999
1000,20,2.0,23.0,0.0,0.0,3.0375167516032686,45.99999999999999
1000,20,2.0,27.0,0.0,0.0,3.0375167516032686,53.99999999999999
1000,25,0.5,23.0,0.0,0.0,3.532885330414182,45.99999999999999
1000,25,0.5,27.0,0.0,0.0,3.532885330414182,53.99999999999999
1000,25,1.0,23.0,0.0,0.0,3.532885330414182,45.99999999999999
1000,25,1.0,27.0,0.0,0.0,3.532885330414182,53.99999999999999
1000,25,2.0,23.0,0.0,0.0,3.532885330414182,45.99999999999999
1000,25,2.0,27.0,0.0,0.0,3.532885330414182,53.99999999999999
1000,37,0.5,23.0,0.0,0.0,4.9631108573509435,45.99999999999999
1000,37,0.5,27.0,0.0,0.0,4.9631108573509435,53.99999999999999
1000,37,1.0,23.0,0.0,0.0,4.9631108573509435,45.99999999999999
1000,37,1.0,27.0,0.0,0.0,4.9631108573509435,53.99999999999999
1000,37,2.0,23.0,0.0,0.0,4.9631108573509435,45.99999999999999
1000,37,2.0,27.0,0.0,0.0,4.9631108573509435,53.99999999999999
